酒款, 年份, 國家, 產地, 品種, 風味敘述, 酒款/風土敘述, 配餐建議, 價格
安.葛蘿酒莊 上夜丘紅酒, 2022, 法國, 布根地, 黑皮諾, 紫羅蘭、櫻桃風味主導，柔和口感挾帶些許礦物氣息, 葡萄園位於 Vosne Romanée 村上方的 Concoeur 村，海拔高度約 400 公尺，座向朝東，比起多數上夜丘地塊具備更加優秀的日照條件。使用約 40% 的新橡木桶培養，香氣以紫羅蘭芬芳與櫻桃風味為主導，酒體結構恰到好處，口感柔和，挾帶些許礦物氣息，以及蔓越莓等新鮮莓果香，風格純淨、清新且細緻，適合趁酒款年輕時飲用。, 搭配煎牛排或紅肉料理都很適合, 2590
拉菲堡 拉菲一軍紅酒, 2020, 法國, 波爾多, 混釀（卡本內蘇維濃、梅洛）, 杏仁與紫羅蘭, 早在1815年，當時的波爾多（Bordeaux）市長亞伯拉罕·勞頓（Abraham Lawton）便將拉菲（Château Lafite Rothschild）列為頭號佳釀：「我將拉菲置於榜首，是因在前三款頂級酒中，拉菲最為優雅與精緻，酒體極其細膩。」著名的1855分級制度，則確認了這一項評價。關於拉菲的酒質特徵，無論哪一個年份，都可引用一個品酒行家的盛讚：「凡入口之拉菲，皆擁杏仁與紫羅蘭之芳醇。」優雅與細緻，以及那驚人的陳年潛力，便是拉菲紅酒的特徵。酒窖中那遙溯1797的年份，便因此得到了印證。從1995年分後，拉菲顯得更有結構與重量，仍不失果韻的純粹與柔順質地。釀製一軍酒的葡萄，81–89%為卡本內蘇維濃（Cabernet Sauvignon），其餘多為梅洛（Merlot），有些年份則會添加些許小維鐸（Petit Verdot）。發酵完成的酒液，注入100%的新橡木桶，由酒莊所持有的木桶廠特別訂製，培養時間約莫20個月。, 無, 29965
撒西凱亞二軍 奇達伯托紅酒, 2020, 義大利, 托斯卡納, 混釀（卡本內蘇維濃、梅洛）, 酒體飽滿，具有濃郁的紅色水果風味，質地優雅柔順，單寧成熟絲滑, 由Sassicaia開啟的「超級托斯卡尼」之名喚醒了全球愛好葡萄酒人仕以全新的角度去看待義大利這個古老傳統的釀酒國。如今Sassicaia已被推崇為全世界最頂級的佳釀之一，也是愛酒人仕亟欲蒐集珍藏的夢幻名酒！擁有博伽利地區絕大部分土地產權的德拉格拉德斯卡家族在17世紀後期開始葡萄酒的釀製，家族成員奇達伯托先生則是此地葡萄酒業承先啟後最重要的推手。奇達伯托先生的後人，聖基多酒廠現任莊主受到啟發，以Guidalberto為自家新酒命名，於2000年正式推出，以感念奇達伯托先生對此地葡萄園的貢獻。得獎紀錄：RP92；Decanter95；JS92, 無, 2000
達慕斯紅酒, 2010, 美國, 加州, 混釀（卡本內蘇維濃、小維多）, 黑櫻桃以及李子的香氣，口感圓潤甜美，單寧細緻又靈巧，雪松、茴香以及可可的香氣, 2010年的春天清爽濕潤，讓葡萄有了更晚的成熟期，夏日的高溫讓葡萄的單寧以及色澤變得越發緊實。該年份的卡本蘇維濃產量很大，使用了40%新橡木桶。國際評分：WS 92、JS 99、WA 100、Decanter 96, 牛排、燉牛肉、滷豬肉等油脂豐富味道濃郁的料理，或是作為小點搭配硬質起司也是另一種選擇, 22000
姆列達侯爵酒莊 RIOJA紅酒, 2018, 西班牙, 里奧哈, 田帕尼優, 香四溢帶出飽滿風味。櫻桃、燻肉、皮革、茴香等風味。口感濃郁、酸度均衡, 由 Luciano Francisco Ramon de Murrieta 創立於 1852 年的 Marqués de Murrieta，坐落於西班牙最重要的酒區利奧哈（Rioja），是為當地葡萄酒產業發展的先驅之一。酒莊所有的葡萄均來自於鄰近 Logroño 的自有葡萄園，目前超過 300 公頃，在當地不但是歷史悠久、分量十足的老大哥，也是品質令人驚豔的優質酒莊。酒莊所有酒款全數 100% 人工採收；不同於利奧哈許多新派酒莊的風格，Marqués de Murrieta 的酒走的是傳統風，超過 90% 的酒款均於美國橡木桶中陳放兩年以上才裝瓶，年產量約為 14000 箱，其中包括量數最大的同名酒款系列、稀少而珍貴的 Castillo Ygay Gran Reserva Especial（於美國橡木桶中陳年至少 36 月），以及自 1995 年開始釀製的酒莊超旗艦酒款 Dalmau；個系列酒款均優，風格經典，是傳統派利奧哈的代表酒莊。, 無, 1500
克拉吉酒莊 利索頂級希哈精釀紅酒, 2013, 紐西蘭, 霍克斯灣, 希哈, 展現具有複雜度的希哈，波森莓、黑胡椒、樟腦及灌木叢的草本植物香氣。精細濃郁、豐富的深色水果結合細緻的單寧和酸度，不甜的尾韻優雅綿長, 創建於 1997 年的家族酒莊克拉吉酒莊（Craggy Range），坐落在雄偉的蒂瑪塔峰（Te Mata Peak）腳下，屬於紐西蘭著名的霍克斯灣（Hawkes Bay）葡萄酒產區。克拉吉酒莊秉承單一葡萄園的釀酒哲學，開創了南半球釀造單一葡萄園（single vineyard）葡萄酒的先驅，在紐西蘭多個地區根據當地的風土條件種植相應的葡萄品種，酒莊因此而擁有最好的葡萄以釀造一系列的優質葡萄酒。, 鹿肉及羊肉餐點, 3650
約翰山堡 麗絲玲QbA白酒, 2020, 德國, 萊茵高, 麗絲玲, 乾淨而細緻的礦物質與黃色水果香氣，柑橘的酸香包覆著口腔, 位於德國 Rheingau 萊茵高葡萄酒產區，是此區最具代表性的酒莊，目前已是喝德國白酒必得朝拜的酒廠，是當地最著名的地標，也是人文與葡萄酒舊莊的薈萃之地。35 公頃的頂級單一葡萄園見證著偉大的葡萄酒歷史，是全世界歷史最悠久的 Riesling 葡萄園，自 1720 年以來，約翰山堡一直都是單一的 Riesling 葡萄園。它是優良德國葡萄酒的代表，不僅是 1775 年開始釀製的 Spätlese 遲摘葡萄酒、1787 年開始釀製的 Auslese 特選葡萄酒，以及 1858 年開始釀製的 Eiswein 冰酒俱為一時之選，它們是萊茵高最為優雅細緻的代表，有長久陳年的實力，而隨著時光推進，則會展現越發圓潤與均衡的風貌，最佳的明證就是整批自 1748 年留存至今的 Riesling, 螃蟹與龍蝦沙拉、魚派、清爽的新鮮起士, 1500
梅爾卻酒莊 頂級卡本內蘇維濃紅酒, 2021, 智利, 邁波河谷, 卡本內蘇維翁, 帶有濃郁的紅色水果、紫羅蘭和玫瑰的香氣。單寧柔和，果實飽滿的新鮮度充滿口腔，入口順滑，餘味悠長而富有表現力，自始至終都展現出深度。陳年潛力超過35-40年, 「梅爾喬」頂級卡本內蘇維濃紅酒（"Don Melchor" Cabernet Sauvignon）來自全智利最適合卡本內蘇維濃的瑪依坡地塊—Puente Alto 特級葡萄園，此園曾獲現代葡萄酒之父 Emile Peynaud 盛讚：「這葡萄酒所蘊含的潛力，是世界其他產地都無法取代的。」首年份1987年至1989年上市，其優異品質與年產酒力立刻吸引了國際間酒評家和葡萄酒愛好者的關注。葡萄選自智利適合卡本內蘇維濃（Cabernet Sauvignon）生長的邊波谷地（Maipo Valley），園內葡萄園仔細分為多達數十單一地塊，每個地塊均分別採收與處理，直到酵完成後才進行調配。這是向波爾多本土致意，也可同時象徵最終紅酒之一, 醬燒、燒烤、燉煮的紅肉；各式香料、紅醬義大利麵、黑松露、鴨胸、羊起士、乾起司, 6300
葛堡城堡酒廠 經典綠維特利納白酒, 2022, 奧地利, 葛堡城堡酒廠, 綠維特利納, 一股優雅新鮮的綠維特利納葡萄香氣撲鼻而來。明亮活潑的酸度，檸檬、杏桃風味，由淺漸圓潤的酒體緩緩衝擊味蕾，以些微帶鹹的味道作為完美的尾韻, Domaene Gobelsburg所表現的是多瑙河地區Kamptal的特色，自然的階梯地形以及平緩的山丘，這裡的文化景觀融合了當地風土的特徵、地質和氣候。承載著多瑙河和坎普河以及Waldviertel所帶來涼爽的風，讓葡萄酒裡充滿了果香和辛辣的氣息, 清爽口味的壽司、燻鮭魚等料理, 1100
魯伯特酒莊 白海神花梢楠白酒, 2023, 南非, 魯伯特酒莊, 白梢楠, 清新迷人的油桃、白桃和梨子的香氣撲鼻。新鮮多汁帶鮮明桃子風味，伴隨活潑的哈密瓜和梨子氣息，均衡美味，餘韻悠長, Swartland以及Voor-Paardeberg，氣候較乾燥的葡萄園，結合不同來源的葡萄, 海鮮和軟質乳酪, 650
